DESCRIPTION_item1,item2,DESCRIPTION_item2,antecedent support,consequent support,item2_count,Count_validate_item2,rule_support,Combined_Baskets,confidence,lift,TOTALQTY_item1,TOTALADJREV_item1,AUR_item1,TOTALQTY_item2,TOTALADJREV_item2,dept_item2,AUR_item2,Combined_ADJREV,ValueAdded_fromitem2,ExpectedVA_fromitem2
RibEye,25,AVOCADOS CV HASS PRE-CONDITIONED,0.187161984,0.06463115,15679,15679,0.01000033,2426,0.053431416,0.826713056,17746.706,328282.894,18.49824379,32795,65960.34,12,2.011292575,394243.234,659.6251519,3524.354349
FiletMignon,1353,POTATOES CV SWEET,0.263875148,0.036349096,8818,8818,0.009971475,2419,0.037788609,1.039602424,32963.67,584684.9525,17.73725294,15087.7,19731.85,5,1.307810336,604416.8025,196.7556438,745.6391594
Salmon,28,BERRIES CV RASPBERRIES 6 OZ,0.285994592,0.027090753,6572,6572,0.009682924,2349,0.033857019,1.249762938,11901.97778,129734.5489,10.90025131,8288,30404.1,2,3.668448359,160138.6489,294.4006022,1029.392201
NYStrip,25,AVOCADOS CV HASS PRE-CONDITIONED,0.175261344,0.06463115,15679,15679,0.009180022,2227,0.052379048,0.810430391,20667.6425,291081.83,14.08393967,32795,65960.34,12,2.011292575,357042.17,605.5174003,3454.93984
CrabCakes,25,AVOCADOS CV HASS PRE-CONDITIONED,0.159098404,0.06463115,15679,15679,0.008986281,2180,0.056482537,0.873921272,46943.165,365938.355,7.795349014,32795,65960.34,12,2.011292575,431898.695,592.7381826,3725.607348
CrabCakes,1333,LEMONS CV,0.159098404,0.060006101,14557,14557,0.008907961,2161,0.055990258,0.933076093,46943.165,365938.355,7.795349014,27424,23470.66,4,0.855843786,389409.015,209.0757167,1314.12831
FiletMignon,1421,BROCCOLI CV CROWNS,0.263875148,0.038232918,9275,9275,0.008780174,2130,0.033273971,0.870296415,32963.67,584684.9525,17.73725294,10123.36,25629.34,5,2.531702913,610314.2925,225.0300678,852.7899241
Salmon,3260905,BERRIES CV BLUEBERRIES JUMBO,0.285994592,0.024910137,6043,6043,0.008718342,2115,0.030484289,1.223770435,11901.97778,129734.5489,10.90025131,7530,62323.96,12,8.276754316,192058.5089,543.3615923,1899.901634
Salmon,1335,CUCUMBERS CV,0.285994592,0.022663567,5498,5498,0.008508112,2064,0.029749207,1.312644541,11901.97778,129734.5489,10.90025131,7856,9532.74,4,1.213434318,139267.2889,81.10562327,283.5914581
CrabCakes,1346,ASPARAGUS CV,0.159098404,0.069404597,16837,16837,0.008367959,2030,0.052596124,0.757819024,46943.165,365938.355,7.795349014,19316.95,65618.8,5,3.396954488,431557.155,549.0954524,3451.294538
Salmon,80,CUCUMBERS CV HOT HOUSE,0.285994592,0.022321429,5415,5415,0.008306127,2015,0.029042952,1.301124243,11901.97778,129734.5489,10.90025131,6295,18352.67,12,2.91543606,148087.2189,152.4396107,533.0157113
FiletMignon,29040,ONIONS CV SWEET,0.263875148,0.027474113,6665,6665,0.008269028,2005,0.031336895,1.140597156,32963.67,584684.9525,17.73725294,8248.37,13944.15,2,1.690534009,598629.1025,115.3045645,436.9663652
NYStrip,456361,ABF BONELESS CHICKEN BREAST,0.175261344,0.033397639,8102,8102,0.00821544,1993,0.046875368,1.403553339,20667.6425,291081.83,14.08393967,19789.89,93130.22,12,4.705949351,384212.05,765.1057267,4365.513288
CrabCakes,3173410,4CT FRENCH BUTTER CROISSANTS,0.159098404,0.040129106,9735,9735,0.008149486,1977,0.051222925,1.276453183,46943.165,365938.355,7.795349014,10130.72,53959.22,12,5.32629665,419897.575,439.739884,2763.949061
Salmon,31160,BANANA OG,0.285994592,0.021047685,5106,5106,0.008108264,1967,0.02835111,1.34699421,11901.97778,129734.5489,10.90025131,10824.01,8515.81,3,0.78675186,138250.3589,69.04843635,241.4326646
FiletMignon,1332,LIMES CV,0.263875148,0.030573968,7417,7417,0.008087653,1962,0.030649545,1.002471959,32963.67,584684.9525,17.73725294,18821,12939.99,7,0.687529356,597624.9425,104.6541534,396.6048111
Salmon,1348,ONIONS CV RED,0.285994592,0.022527536,5465,5465,0.008038188,1950,0.028106082,1.247632343,11901.97778,129734.5489,10.90025131,3877.16,7852.25,2,2.025258179,137586.7989,63.11785838,220.6959859
FiletMignon,456361,ABF BONELESS CHICKEN BREAST,0.263875148,0.033397639,8102,8102,0.007910401,1919,0.029977817,0.897602896,32963.67,584684.9525,17.73725294,19789.89,93130.22,12,4.705949351,677815.1725,736.6973857,2791.840725
NYStrip,7835,GROUND CHUCK,0.175261344,0.027915183,6772,6772,0.007840324,1902,0.044735047,1.602534637,20667.6425,291081.83,14.08393967,13722.76,71901.88,4,5.239607776,362983.71,563.734071,3216.533993
FiletMignon,52690,OLIVE BAR,0.263875148,0.029164193,7075,7075,0.007737271,1877,0.029321711,1.005401058,32963.67,584684.9525,17.73725294,4131.93,45414.24,4,10.99104777,630099.1925,351.3822734,1331.623215
Salmon,52690,OLIVE BAR,0.285994592,0.029164193,7075,7075,0.007667194,1860,0.026808879,0.919239503,11901.97778,129734.5489,10.90025131,4131.93,45414.24,4,10.99104777,175148.7889,348.1998021,1217.504849
Salmon,31,SQUASH CV ZUCCHINI,0.285994592,0.018586763,4509,4509,0.007617729,1848,0.026635918,1.433058472,11901.97778,129734.5489,10.90025131,4851.55,11743.46,131,2.420558378,141478.0089,89.4584903,312.7978391
Salmon,1619,ONIONS OG GREEN,0.285994592,0.019085543,4630,4630,0.007469331,1812,0.026117037,1.368419902,11901.97778,129734.5489,10.90025131,5415,9644.65,2,1.7810988,139379.1989,72.03908538,251.8896771
CrabCakes,1944845,MARYLAND CRAB CAKE 3 OZ,0.159098404,0.015251946,3700,3700,0.007452843,1808,0.046844233,3.071361099,46943.165,365938.355,7.795349014,9486,42852.16,5,4.517410921,408790.515,319.370405,2007.376549
Salmon,65015,BERRIES OG RASPBERRIES 6 OZ,0.285994592,0.019085543,4630,4630,0.007436354,1804,0.02600173,1.362378313,11901.97778,129734.5489,10.90025131,5994,25799.73,12,4.304259259,155534.2789,191.8559265,670.8376033
Salmon,79909,BERRIES OG STRAWBERRIES 1 LB,0.285994592,0.019650277,4767,4767,0.007419865,1800,0.025944076,1.320290604,11901.97778,129734.5489,10.90025131,5287,36499.15,14,6.903565349,166233.6989,270.8187822,946.9367253
Salmon,29040,ONIONS CV SWEET,0.285994592,0.027474113,6665,6665,0.007386888,1792,0.025828769,0.940112941,11901.97778,129734.5489,10.90025131,8248.37,13944.15,2,1.690534009,143678.6989,103.0038781,360.1602306
RibEye,1333,LEMONS CV,0.187161984,0.060006101,14557,14557,0.007374522,1789,0.039401815,0.656630148,17746.706,328282.894,18.49824379,27424,23470.66,4,0.855843786,351753.554,173.0848946,924.786599
RibEye,3173410,4CT FRENCH BUTTER CROISSANTS,0.187161984,0.040129106,9735,9735,0.007362155,1786,0.039335741,0.980229704,17746.706,328282.894,18.49824379,10130.72,53959.22,12,5.32629665,382242.114,397.2561623,2122.525921
Salmon,49,BERRIES CV BLUEBERRIES 6 OZ,0.285994592,0.019646155,4766,4766,0.007345667,1782,0.025684635,1.307361951,11901.97778,129734.5489,10.90025131,5628,20708.65,5,3.679575338,150443.1989,152.1188427,531.8941237
Salmon,1434,GARLIC CV LOOSE,0.285994592,0.022527536,5465,5465,0.007300323,1771,0.025526088,1.133106092,11901.97778,129734.5489,10.90025131,1407.36,6992.92,4,4.968821055,136727.4689,51.05057595,178.5018928
NYStrip,1333,LEMONS CV,0.175261344,0.060006101,14557,14557,0.007193147,1745,0.041042407,0.683970564,20667.6425,291081.83,14.08393967,27424,23470.66,4,0.855843786,314552.49,168.8279156,963.2923701
FiletMignon,187353,MUSHROOMS - CV SLICED BABY BELLA 8OZ,0.263875148,0.0190031,4610,4610,0.007040628,1708,0.026681663,1.404068999,32963.67,584684.9525,17.73725294,5502,14807.03,7,2.691208651,599491.9825,104.2507883,395.0761902
NYStrip,182,BERRIES CV STRAWBERRIES 1LB,0.175261344,0.042025293,10195,10195,0.007020017,1703,0.040054566,0.953106167,20667.6425,291081.83,14.08393967,11286,55911.13,12,4.954025341,346992.96,392.4970914,2239.49607
Salmon,3214537,BEANS CV GREEN SNIPPED 12 OZ,0.285994592,0.018920657,4590,4590,0.007007651,1700,0.024502739,1.295025784,11901.97778,129734.5489,10.90025131,4878,19372.22,131,3.971344813,149106.7689,135.7537512,474.6724416
Salmon,70656,BERRIES OG BLUEBERRIES 6 OZ,0.285994592,0.017824166,4324,4324,0.006945818,1685,0.024286538,1.362562397,11901.97778,129734.5489,10.90025131,5549,24013.84,12,4.327597765,153748.3889,166.795774,583.2130355
Salmon,1837932,MANDARIN CV HALO 3 LB,0.285994592,0.018998978,4609,4609,0.006916963,1678,0.024185644,1.27299714,11901.97778,129734.5489,10.90025131,4711,31229.89,4,6.629142433,160964.4389,216.016008,755.3150104
FiletMignon,181203,PP TWICE BAKED POTATOES,0.263875148,0.015066449,3655,3655,0.006875742,1668,0.0260568,1.729458617,32963.67,584684.9525,17.73725294,5720.41,34242.48,4,5.986018485,618927.4325,235.4424575,892.2494554
FiletMignon,181201,PP SMALL ROASTED CHICKEN SALAD,0.263875148,0.02599014,6305,6305,0.006859253,1664,0.025994314,1.000160596,32963.67,584684.9525,17.73725294,6881.64,80635.9,14,11.71754117,665320.8525,553.102071,2096.074884
NYStrip,3173410,4CT FRENCH BUTTER CROISSANTS,0.175261344,0.040129106,9735,9735,0.006838643,1659,0.039019686,0.972353747,20667.6425,291081.83,14.08393967,10130.72,53959.22,12,5.32629665,345041.05,369.0078238,2105.471834
RibEye,7835,GROUND CHUCK,0.187161984,0.027915183,6772,6772,0.006793299,1648,0.036296362,1.300237292,17746.706,328282.894,18.49824379,13722.76,71901.88,4,5.239607776,400184.774,488.4509722,2609.776633
Salmon,835690,MANDARIN CV SUMO,0.285994592,0.023277767,5647,5647,0.006760322,1640,0.023637936,1.015472671,11901.97778,129734.5489,10.90025131,14595.27,53424.78,2,3.660417382,183159.3289,361.168708,1262.851531
Salmon,181201,PP SMALL ROASTED CHICKEN SALAD,0.285994592,0.02599014,6305,6305,0.006686123,1622,0.023378495,0.899514023,11901.97778,129734.5489,10.90025131,6881.64,80635.9,14,11.71754117,210370.4489,539.141562,1885.146005
FiletMignon,28,BERRIES CV RASPBERRIES 6 OZ,0.263875148,0.027090753,6572,6572,0.006673757,1619,0.025291343,0.933578418,32963.67,584684.9525,17.73725294,8288,30404.1,2,3.668448359,615089.0525,202.9095679,768.9605071
RibEye,1353,POTATOES CV SWEET,0.187161984,0.036349096,8818,8818,0.00666139,1616,0.035591578,0.979159906,17746.706,328282.894,18.49824379,15087.7,19731.85,5,1.307810336,348014.744,131.4415545,702.2876751
Salmon,5202017,BRUSSELS SPROUTS OG 1LB,0.285994592,0.017069813,4141,4141,0.006537726,1586,0.022859614,1.33918363,11901.97778,129734.5489,10.90025131,4816,22484.85,4,4.668781146,152219.3989,146.9997861,513.9949856
FiletMignon,3260905,BERRIES CV BLUEBERRIES JUMBO,0.263875148,0.024910137,6043,6043,0.006529482,1584,0.024744587,0.993354109,32963.67,584684.9525,17.73725294,7530,62323.96,12,8.276754316,647008.9125,406.94315,1542.180658
Salmon,7835,GROUND CHUCK,0.285994592,0.027915183,6772,6772,0.006525359,1583,0.022816374,0.817346383,11901.97778,129734.5489,10.90025131,13722.76,71901.88,4,5.239607776,201636.4289,469.1856122,1640.540156
RibEye,182,BERRIES CV STRAWBERRIES 1LB,0.187161984,0.042025293,10195,10195,0.006512993,1580,0.034798696,0.828041716,17746.706,328282.894,18.49824379,11286,55911.13,12,4.954025341,384194.024,364.1487988,1945.634424
CrabCakes,182,BERRIES CV STRAWBERRIES 1LB,0.159098404,0.042025293,10195,10195,0.006447039,1564,0.040522334,0.964236786,46943.165,365938.355,7.795349014,11286,55911.13,12,4.954025341,421849.485,360.461216,2265.64948
RibEye,29040,ONIONS CV SWEET,0.187161984,0.027474113,6665,6665,0.006409939,1555,0.034248084,1.246558314,17746.706,328282.894,18.49824379,8248.37,13944.15,2,1.690534009,342227.044,89.3811554,477.5604187
NYStrip,1421,BROCCOLI CV CROWNS,0.175261344,0.038232918,9275,9275,0.006360474,1543,0.036291366,0.949217791,20667.6425,291081.83,14.08393967,10123.36,25629.34,5,2.531702913,316711.17,163.0147392,930.1237533
RibEye,456361,ABF BONELESS CHICKEN BREAST,0.187161984,0.033397639,8102,8102,0.006294519,1527,0.033631398,1.006999276,17746.706,328282.894,18.49824379,19789.89,93130.22,12,4.705949351,421413.114,586.2099572,3132.099505
NYStrip,1353,POTATOES CV SWEET,0.175261344,0.036349096,8818,8818,0.006261542,1519,0.035726886,0.982882361,20667.6425,291081.83,14.08393967,15087.7,19731.85,5,1.307810336,310813.68,123.5518078,704.9575499
Salmon,64490,CILANTRO OG BUNCH,0.285994592,0.014448127,3505,3505,0.006240931,1514,0.021821851,1.510358459,11901.97778,129734.5489,10.90025131,3824,7553.26,12,1.975224895,137287.8089,47.13937657,164.8261118
FiletMignon,835690,MANDARIN CV SUMO,0.263875148,0.023277767,5647,5647,0.006236809,1513,0.023635455,1.015366077,32963.67,584684.9525,17.73725294,14595.27,53424.78,2,3.660417382,638109.7325,333.2001556,1262.71897
FiletMignon,7835,GROUND CHUCK,0.263875148,0.027915183,6772,6772,0.006150244,1492,0.023307402,0.834936377,32963.67,584684.9525,17.73725294,13722.76,71901.88,4,5.239607776,656586.8325,442.2141083,1675.845986
RibEye,1421,BROCCOLI CV CROWNS,0.187161984,0.038232918,9275,9275,0.006121389,1485,0.032706369,0.855450521,17746.706,328282.894,18.49824379,10123.36,25629.34,5,2.531702913,353912.234,156.8871599,838.2426636
Salmon,16,GRAPES CV RED SEEDLESS,0.285994592,0.0165463,4014,4014,0.006109023,1482,0.021360623,1.290960681,11901.97778,129734.5489,10.90025131,7661.37,22380.47,7,2.921209914,152115.0189,136.7227961,478.0607746
Salmon,39950,APPLES CV HONEYCRISP LARGE,0.285994592,0.016492712,4001,4001,0.00596887,1448,0.020870568,1.265441841,11901.97778,129734.5489,10.90025131,7611.22,25208.98,5,3.312081375,154943.5289,150.4691129,526.1257285
Salmon,48,BERRIES CV BLACKBERRIES 6 OZ,0.285994592,0.01620004,3930,3930,0.005886427,1428,0.0205823,1.270509265,11901.97778,129734.5489,10.90025131,4794,17505.91,1,3.65162912,147240.4589,103.0472542,360.311898
FiletMignon,1434,GARLIC CV LOOSE,0.263875148,0.022527536,5465,5465,0.005803984,1408,0.021995189,0.976369036,32963.67,584684.9525,17.73725294,1407.36,6992.92,4,4.968821055,591677.8725,40.5867933,153.8105939
Salmon,1019343,AVOCADOS CV HASS 4 CT BAG,0.285994592,0.013388735,3248,3248,0.005630853,1366,0.019688671,1.470540054,11901.97778,129734.5489,10.90025131,3415,19015.46,4,5.568216691,148750.0089,107.0732685,374.3891375
CrabCakes,181201,PP SMALL ROASTED CHICKEN SALAD,0.159098404,0.02599014,6305,6305,0.005626731,1365,0.035366359,1.360760636,46943.165,365938.355,7.795349014,6881.64,80635.9,14,11.71754117,446574.255,453.7165426,2851.798204
RibEye,52690,OLIVE BAR,0.187161984,0.029164193,7075,7075,0.005601998,1359,0.029931284,1.026302466,17746.706,328282.894,18.49824379,4131.93,45414.24,4,10.99104777,373697.134,254.4105006,1359.306496
Salmon,15,GRAPES CV GREEN SEEDLESS,0.285994592,0.015985688,3878,3878,0.005552533,1347,0.019414817,1.214512448,11901.97778,129734.5489,10.90025131,7737.14,22824.25,4,2.949959546,152558.7989,126.7323933,443.1286358
Salmon,72995,ROASTED CHICKEN SALAD,0.285994592,0.021117762,5123,5123,0.005486578,1331,0.019184203,0.908439227,11901.97778,129734.5489,10.90025131,4672.68,54879.32,4,11.74472037,184613.8689,301.0996856,1052.816012
FiletMignon,1348,ONIONS CV RED,0.263875148,0.022527536,5465,5465,0.00547009,1327,0.02072984,0.920200079,32963.67,584684.9525,17.73725294,3877.16,7852.25,2,2.025258179,592537.2025,42.95251183,162.7758889
RibEye,1332,LIMES CV,0.187161984,0.030573968,7417,7417,0.005420624,1315,0.028962206,0.947283197,17746.706,328282.894,18.49824379,18821,12939.99,7,0.687529356,341222.884,70.14281943,374.7706557
CrabCakes,52690,OLIVE BAR,0.159098404,0.029164193,7075,7075,0.005391769,1308,0.033889522,1.162025014,46943.165,365938.355,7.795349014,4131.93,45414.24,4,10.99104777,411352.595,244.8630867,1539.066896
FiletMignon,80,CUCUMBERS CV HOT HOUSE,0.263875148,0.022321429,5415,5415,0.00537528,1304,0.020370544,0.912600369,32963.67,584684.9525,17.73725294,6295,18352.67,12,2.91543606,603037.6225,98.65074561,373.8538707
Salmon,558011,TFM CHEESE SHREDDED BAGGED,0.285994592,0.017749967,4306,4306,0.005358792,1300,0.018737388,1.055629471,11901.97778,129734.5489,10.90025131,5192,25908.08,5,4.99,155642.6289,138.8360045,485.449755
CrabCakes,142168,COCONUT SHRIMP,0.159098404,0.009142923,2218,2218,0.005346425,1297,0.033604519,3.675467708,46943.165,365938.355,7.795349014,19046.8,15715.09,3,0.825077703,381653.445,84.01955435,528.0980343
NYStrip,29040,ONIONS CV SWEET,0.175261344,0.027474113,6665,6665,0.005329937,1293,0.030411365,1.106909801,20667.6425,291081.83,14.08393967,8248.37,13944.15,2,1.690534009,305025.98,74.32143661,424.0606334
FiletMignon,76555,LEAN GROUND SIRLOIN,0.263875148,0.017185233,4169,4169,0.005329937,1293,0.020198707,1.17535251,32963.67,584684.9525,17.73725294,6374.31,50015.8,12,7.846464951,634700.7525,266.5810472,1010.254466
Salmon,79911,BERRIES OG BLACKBERRIES 6 OZ,0.285994592,0.014114233,3424,3424,0.005325815,1292,0.018622081,1.319383161,11901.97778,129734.5489,10.90025131,4317,18658.98,5,4.322209868,148393.5289,99.37426692,347.4690424
FiletMignon,1335,CUCUMBERS CV,0.263875148,0.022663567,5498,5498,0.005325815,1292,0.020183085,0.890552009,32963.67,584684.9525,17.73725294,7856,9532.74,4,1.213434318,594217.6925,50.76960526,192.4001012
Salmon,528993,CHOBANI GREEK YOGURT 5.3 OZ,0.285994592,0.013293926,3225,3225,0.005276349,1280,0.018449121,1.38778577,11901.97778,129734.5489,10.90025131,11385,12817,4,1.125779534,142551.5489,67.62696214,236.4623811
Salmon,558016,TFM RBST FREE MILK 64OZ,0.285994592,0.01683485,4084,4084,0.005276349,1280,0.018449121,1.095888616,11901.97778,129734.5489,10.90025131,4250,11749.09,5,2.764491765,141483.6389,61.99229653,216.7603805
CrabCakes,72995,ROASTED CHICKEN SALAD,0.159098404,0.021117762,5123,5123,0.00525986,1276,0.033060421,1.565526761,46943.165,365938.355,7.795349014,4672.68,54879.32,4,11.74472037,420817.675,288.6575498,1814.333411
NYStrip,52690,OLIVE BAR,0.175261344,0.029164193,7075,7075,0.005210394,1264,0.029729285,1.019376205,20667.6425,291081.83,14.08393967,4131.93,45414.24,4,10.99104777,336496.07,236.6261021,1350.132873
FiletMignon,72995,ROASTED CHICKEN SALAD,0.263875148,0.021117762,5123,5123,0.005165051,1253,0.019573843,0.92689006,32963.67,584684.9525,17.73725294,4672.68,54879.32,4,11.74472037,639564.2725,283.4544748,1074.199206
Salmon,86,TOMATOES CV ON THE VINE CLUSTER,0.285994592,0.016175307,3924,3924,0.00514444,1248,0.017987893,1.112058838,11901.97778,129734.5489,10.90025131,4389.98,12447.03,2,2.835327268,142181.5789,64.0329996,223.8958409
NYStrip,1332,LIMES CV,0.175261344,0.030573968,7417,7417,0.005074364,1231,0.028953125,0.946986168,20667.6425,291081.83,14.08393967,18821,12939.99,7,0.687529356,304021.82,65.66221347,374.6531432
FiletMignon,40400,CORN BI COLOR PACKAGED - 4 PACK,0.263875148,0.01631546,3957,3958,0.005016653,1217,0.019011466,1.16524245,32963.67,584684.9525,17.73725294,4476.02,26591.4,12,5.940858173,611276.3525,133.3998392,505.5415034
Salmon,1787257,NON-GMO FAMILY PK BNLS CHICKEN BREAST,0.285994592,0.013574232,3293,3293,0.00497131,1206,0.017382531,1.280553586,11901.97778,129734.5489,10.90025131,10216.21,43623.41,14,4.270018921,173357.9589,216.865488,758.2852762
FiletMignon,558011,TFM CHEESE SHREDDED BAGGED,0.263875148,0.017749967,4306,4306,0.004901233,1189,0.018574062,1.046427968,32963.67,584684.9525,17.73725294,5192,25908.08,5,4.99,610593.0325,126.9815456,481.2182823
CrabCakes,172705,26-30 PER LB JUMBO COCKTAIL SHRIMP,0.159098404,0.014044156,3407,3407,0.004892989,1187,0.030754482,2.189841907,46943.165,365938.355,7.795349014,2483.03,42198.81,3,16.99488528,408137.165,206.4783153,1297.802556
RibEye,1434,GARLIC CV LOOSE,0.187161984,0.022527536,5465,5465,0.004884745,1185,0.026099022,1.158538696,17746.706,328282.894,18.49824379,1407.36,6992.92,4,4.968821055,335275.814,34.1586293,182.5083737
FiletMignon,860705,PP LOADED TWICE BAKED POTATO,0.263875148,0.010540331,2557,2557,0.004868256,1181,0.018449089,1.750332993,32963.67,584684.9525,17.73725294,3988.1,23870.94,12,5.985541987,608555.8925,116.2098509,440.3971028
FiletMignon,31160,BANANA OG,0.263875148,0.021047685,5106,5106,0.004851768,1177,0.018386603,0.873568895,32963.67,584684.9525,17.73725294,10824.01,8515.81,3,0.78675186,593200.7625,41.31673085,156.5768171
Salmon,2240421,HMR - ASPARAGUS TIPS,0.285994592,0.014097744,3420,3420,0.004814668,1168,0.016834823,1.194150091,11901.97778,129734.5489,10.90025131,2254.54,21500.35,12,9.536468637,151234.8989,103.5170525,361.9545806
RibEye,835690,MANDARIN CV SUMO,0.187161984,0.023277767,5647,5647,0.004744592,1151,0.025350189,1.089030131,17746.706,328282.894,18.49824379,14595.27,53424.78,2,3.660417382,381707.674,253.47877,1354.328292
